review,normalized_review,sentiment,topics,summary
"This book was required reading for my up and coming 6th grader. She hates to read, but this book has been a riot. She is not into Barbie, pink or much girly stuff. Fortunately, neither is Catherine. She and my daughter have a lot in common. I would highly recommend this book for all girls. If the boys can get past the sprinkling of puberty stuff they will like her antics too.",book required reading coming th grader hates read book riot barbie pink much girly stuff fortunately neither catherine daughter lot common would highly recommend book girls boys get past sprinkling puberty stuff like antics,negative,"book girls, read book, puberty stuff",Error: '<' not supported between instances of 'NoneType' and 'int'
"This is a very poorly designed product, especially considering it is far more expensive than most sets I have bought before. The clips that hold the curlers in place are huge, there is no where convenient to put them like the small metal ones. They are heavy and feel clumsy on my head. There is no where nice to grab the curlers so I burn my fingers sometimes. I guess it heats up fine, but they are so difficult to deal with that I have yet to get a nice curl.",poorly designed product especially considering far expensive sets bought clips hold curlers place huge convenient put like small metal ones heavy feel clumsy head nice grab curlers burn fingers sometimes guess heats fine difficult deal yet get nice curl,positive,"hold curlers, curlers, grab curlers",Error: '<' not supported between instances of 'NoneType' and 'int'
"Cute turtle, but way too loud! There's no volume control and the pieces are hard to get to stay in the spaces on the turtle. Give it 5 minutes and you'll get sick of hearing ""SHAPES, ANIMALS,COLORS!"" Yard sale, here it comes...",cute turtle way loud theres volume control pieces hard get stay spaces turtle give minutes youll get sick hearing shapes animalscolors yard sale comes,negative,"cute turtle, hearing shapes, turtle",Error: '<' not supported between instances of 'NoneType' and 'int'
"My son and I love reading this book together. He adores the pictures, the rhyming text, and all the animals portrayed in the book. A great read for all ages!",son love reading book together adores pictures rhyming text animals portrayed book great read ages,positive,"love reading, reading book, read ages",Error: '<' not supported between instances of 'NoneType' and 'int'
"In spite of my only chosing 2 stars for the book, I can see why ""The Light Ages"" was chosen for the World Fantasy Award. Macleod obviously is an experienced and careful writer, and his depictions of the town of Bracebridge and the lives of the people there are so well done that I could almost see the individuals he described.That said, though, I was not able to finish the book because the action is so slow moving. Macleod loves his descriptions of the people and the work of removing aether from the ground, but he spends so much time on those depictions that the narrative just creeps along. I finally gave up, even though I enjoyed reading about the world Macleod was creating, because I felt it was taking too long to get to the action.",spite chosing stars book see light ages chosen world fantasy award macleod obviously experienced careful writer depictions town bracebridge lives people well done could almost see individuals describedthat said though able finish book action slow moving macleod loves descriptions people work removing aether ground spends much time depictions narrative creeps along finally gave even though enjoyed reading world macleod creating felt taking long get action,positive,"book action, award macleod, book light",Error: '<' not supported between instances of 'NoneType' and 'int'
"A very scholarly, well researched exposure of the real meaning of the scriptures, eliminating much of the esoteric meanings in the obscure, ambiguous and seemingly contradictory passages and enlightening us as to the meaning of terms in use at that time. By paralleling the recorded history of the times and the written word of the gospels we are ably guided to concur with the author that the apocalypse is a fait accompli. The bible and gospels should be understood not with the modern accepted meaning of the word but that of the meaning in use at the time of the writing. A fascinating, well written, book that is sure to captivate your attention. Highly recommended to searchers of the truth whether you be a bible reader or not.Louis H. Lafontaine, Eng.",scholarly well researched exposure real meaning scriptures eliminating much esoteric meanings obscure ambiguous seemingly contradictory passages enlightening us meaning terms use time paralleling recorded history times written word gospels ably guided concur author apocalypse fait accompli bible gospels understood modern accepted meaning word meaning use time writing fascinating well written book sure captivate attention highly recommended searchers truth whether bible reader notlouis h lafontaine eng,positive,"word gospels, gospels understood, bible reader",Error: '<' not supported between instances of 'NoneType' and 'int'
"Laura Nyro was a gifted song writer and I loved the sound of her voice. If she was guilty of suicidal screeching, as has been suggested by some, what does that say about every other over paid rock diva? But honestly, this album has always left me a bit chilled. The landscape is bleak. There is a good groove going on Lucky, I never understood 'Dig those potatoes.' I wish I could have been there to talk her out of that line. Timer has wonderful potential, but oh that introduction. The recording of Sweet Blindness, endearing song, is a mess. There are under-appreciated gems here, December's Boudoir and The Confession. Don't dismiss this album out of hand, no artist could make a more penetrating statement about urban life. Some say it took them years to ""Get"" Laura Nyro. She grabbed me on my first hearing as a young teen-ager and never let go. If there is a more gifted singer-song writer out there, I don't know who it is.",laura nyro gifted song writer loved sound voice guilty suicidal screeching suggested say every paid rock diva honestly album always left bit chilled landscape bleak good groove going lucky never understood dig potatoes wish could talk line timer wonderful potential oh introduction recording sweet blindness endearing song mess underappreciated gems decembers boudoir confession dont dismiss album hand artist could make penetrating statement urban life say took years get laura nyro grabbed first hearing young teenager never let go gifted singersong writer dont know,positive,"laura nyro, gifted song, gifted singersong",Error: '<' not supported between instances of 'NoneType' and 'int'
It was much smaller that I anticipated. So small can't see guardian angel on pendant. Very disappointed. The pendant had to be magnified to be able to take a picture.,much smaller anticipated small cant see guardian angel pendant disappointed pendant magnified able take picture,negative,"pendant magnified, angel pendant, pendant disappointed",Error: '<' not supported between instances of 'NoneType' and 'int'
"I purchased this car holder for my z520a phone. The connector on the bottom of this car holder is completely inadequate for a car installation. A slight bump of the wire, or taking a turn too quick will cause the connector to come loose. The Sony Ericsson engineers should have known better.",purchased car holder za phone connector bottom car holder completely inadequate car installation slight bump wire taking turn quick cause connector come loose sony ericsson engineers known better,negative,"connector car, phone connector, car holder",Error: '<' not supported between instances of 'NoneType' and 'int'
to any Playstation 2 owner do not buy this adaptor for your PS2 because it will mess up the system and it won't let you play DVD's or DVD-ROM games.it is also recommended by the Sony company that made the PS2 and PSone to not to use this adaptor only use the adaptor that has the Sony Playstation 2 or Sony Playstation logo on the adaptor.,playstation owner buy adaptor ps mess system wont let play dvds dvdrom gamesit also recommended sony company made ps psone use adaptor use adaptor sony playstation sony playstation logo adaptor,negative,"sony playstation, playstation sony, dvdrom gamesit",Error: '<' not supported between instances of 'NoneType' and 'int'
The issues that prompted this film remain. Nothing has changed and that's what's scary. Charlton Heston as himself gives a frightening performance.,issues prompted film remain nothing changed thats whats scary charlton heston gives frightening performance,negative,"scary charlton, charlton heston, frightening performance",Error: '<' not supported between instances of 'NoneType' and 'int'
"I love this movie! The story line, the actors, the music are all excellent! This movie/play was created during the time when the Vietnam War was slowly coming toward an end.The songs compliment the political atmosphere in that era, and they certainly fit in today with what has been going on in D.C. for the past eight years. Yes, I'm including both Congress and the White House, ""Piddle, twiddle, and resolve, not one thing is ever solved"" fits what has been going on with Democrats and Republicans to a 'T'.Speaking of ""Piddle, twiddle, and resolve"" the only disappointment I have with this DVD is that the diector didn't include the full version of the song. You can find the full version on the CD of ""1776"" but not on this DVD.Other than that, excellent movie!",love movie story line actors music excellent movieplay created time vietnam war slowly coming toward endthe songs compliment political atmosphere era certainly fit today going dc past eight years yes im including congress white house piddle twiddle resolve one thing ever solved fits going democrats republicans tspeaking piddle twiddle resolve disappointment dvd diector didnt include full version song find full version cd dvdother excellent movie,positive,"time vietnam, actors music, love movie",Error: '<' not supported between instances of 'NoneType' and 'int'
hard to believe this is 20 years old. I was grooving to this jam a whole lot back in the day. he hit some serious notes on this New Jack Swing inspired groove and Jam. the remix was cool as well.i bought the tape back in the day and wore this cut out.,hard believe years old grooving jam whole lot back day hit serious notes new jack swing inspired groove jam remix cool welli bought tape back day wore cut,positive,"groove jam, grooving jam, jam remix",Error: '<' not supported between instances of 'NoneType' and 'int'
"I think that this book has helped me greatly to become a better person, see the glass half full, have a more positive opinion towards myself and others, and make me feel happier everyday. It would definitely help some one who has low self esteem issues. Very well written.",think book helped greatly become better person see glass half full positive opinion towards others make feel happier everyday would definitely help one low self esteem issues well written,positive,"self esteem, esteem issues, esteem",Error: '<' not supported between instances of 'NoneType' and 'int'
"I bought this product due to the sloping seats in my Dodge Caravan and thought that it was going to be very useful. Boy, was I wrong. When I tried to put this under my infant carseat it brought the carseat so far away from the back of the seat that I was unable to safely buckle it. There was no way to get a tight fit for the carseat using the 1 inch rule. (the carseat should not move more than 1 inch in any direction) I again tried to use the leveler when we converted to a convertible carseat,and yet again no luck. I recommend the poll noddles, they are much easier to use and a fraction of the cost.",bought product due sloping seats dodge caravan thought going useful boy wrong tried put infant carseat brought carseat far away back seat unable safely buckle way get tight fit carseat using inch rule carseat move inch direction tried use leveler converted convertible carseatand yet luck recommend poll noddles much easier use fraction cost,positive,"rule carseat, infant carseat, sloping seats",Error: '<' not supported between instances of 'NoneType' and 'int'
"...that self titled albums are a band's best. While this album is by no means poor, there is certainly nothing fundamentally wrong with it, it does not compare to their debut ""Up the Bracket"". However, the album is built on the strained relationship between the creative core of the band, Pete Doherty and Carl Bart. This tense writing style is epitomised by the album's flagship song, ""Can't Stand Me Now"".I think that while this record is definitely worthy of any self respecting collection, if I could only buy one Libertines' album, this would not be it.",self titled albums bands best album means poor certainly nothing fundamentally wrong compare debut bracket however album built strained relationship creative core band pete doherty carl bart tense writing style epitomised albums flagship song cant stand nowi think record definitely worthy self respecting collection could buy one libertines album would,positive,"epitomised albums, titled albums, albums flagship",Error: '<' not supported between instances of 'NoneType' and 'int'
I had heard one of their songs on GAC and decided to buy the CD just for the heck of it. It was fantistic. I had never heard a first album that was so polished with songs that I fell in love with.,heard one songs gac decided buy cd heck fantistic never heard first album polished songs fell love,positive,"songs gac, polished songs, album polished",Error: '<' not supported between instances of 'NoneType' and 'int'
"Our family has made a successful living selling dolls and bears at eBay for the past five years. I wish Donny's book was around when we first started! His strategies are sound, his information is invaluable and his writing style is very user-friendly. By learning and utilizing the information in this book, you can save yourself countless hours of trial and error and add more profit to your pockets. Consider this resource guide an investment in yourself that will pay for itself many times over. See you at eBay!Karen & John Krejcha, PowerSellerseBay: countyourbeansCount Your BeansSan Jose, CAwww.countyourbeans.com",family made successful living selling dolls bears ebay past five years wish donnys book around first started strategies sound information invaluable writing style userfriendly learning utilizing information book save countless hours trial error add profit pockets consider resource guide investment pay many times see ebaykaren john krejcha powersellersebay countyourbeanscount beanssan jose ca,positive,"selling dolls, dolls, dolls bears",Error: '<' not supported between instances of 'NoneType' and 'int'
"great movie but it is entertainment, and other than the book shop, and a few tools shown in the movie nothing else is ""TRUE"" be ware witchwannabeeees bright blessings, WW",great movie entertainment book shop tools shown movie nothing else true ware witchwannabeeees bright blessings ww,positive,"ware witchwannabeeees, witchwannabeeees bright, entertainment book",Error: '<' not supported between instances of 'NoneType' and 'int'
"This tool for injecting dye into R-134a car A/C systems works exactly as it's designed. It uses disposable dye cartidges that are threaded on both end with caps. When you are attaching the plunger and coupler hose, be aware that large end is sealed inside with the piston, but the small end will spill if it isn't held upright when you attach the coupler hose. I was very happy to see that the plunger assembly is entirely made of metal. It only has rubber covers on it.Not sure where it's made, there's no marking I can see. It's a well made injector, though.",tool injecting dye ra car ac systems works exactly designed uses disposable dye cartidges threaded end caps attaching plunger coupler hose aware large end sealed inside piston small end spill isnt held upright attach coupler hose happy see plunger assembly entirely made metal rubber covers itnot sure made theres marking see well made injector though,positive,"tool injecting, injecting dye, injector",Error: '<' not supported between instances of 'NoneType' and 'int'
"This mug keeps my coffee or cocoa nice and hot for a long time,and the cap functions wonderfully as far as spill stopping but at the cost of being a complete pain to clean/get the coffee smell out of.",mug keeps coffee cocoa nice hot long timeand cap functions wonderfully far spill stopping cost complete pain cleanget coffee smell,positive,"keeps coffee, mug keeps, mug",Error: '<' not supported between instances of 'NoneType' and 'int'
"I used to work in a yarn shop. I have saved so many pamphlets and photo-copied a ton of patterns for sweaters, afghans, etc. that I would never make just to have patterns for the details. This book has helped me declutter! I can't believe that she has all of this in one book. Thank you, thank you, thank you! The patterns from ""Knitting on the Edge"" that I have used have all worked out. I have also easily been able to vary the patterns to work into the piece I was working on. She's made it very simple. And having worked some of the edges in - they really have made the pieces 100% richer looking. (Borrowed it from our library and had to buy my own copy.)",used work yarn shop saved many pamphlets photocopied ton patterns sweaters afghans etc would never make patterns details book helped declutter cant believe one book thank thank thank patterns knitting edge used worked also easily able vary patterns work piece working shes made simple worked edges really made pieces richer looking borrowed library buy copy,positive,"patterns knitting, patterns sweaters, work yarn",Error: '<' not supported between instances of 'NoneType' and 'int'
"I love this CD, to me it's a classic... it brings back memories from high school...some of the melancholy lyrics (like, 'I Know It's Over') can make you feel bad, that it feels good..LOL",love cd classic brings back memories high schoolsome melancholy lyrics like know make feel bad feels goodlol,positive,"melancholy lyrics, love cd, cd classic",Error: '<' not supported between instances of 'NoneType' and 'int'
very easy to operate. Downloads well and saving your place is better than others that cost more.,easy operate downloads well saving place better others cost,positive,"operate downloads, downloads saving, downloads",Error: '<' not supported between instances of 'NoneType' and 'int'
"This coffeemaker works well. It is inexpensive, easy to fill, easy to clean and fairly fast. The only minor drawback is the lack of an externally visible fill level. The internal fill mark is just about impossible to see, so you really have to measure the water you put in. The automatic shut-off is a big plus. I previously had a similar Toastess model (Toastess TFC-326 Personal-Size 1-Cup Coffeemaker, Black) which was also a good coffeemaker. It had an external fill indicator, but it lacked the automatic shut-off. I kept forgetting to turn it off after making coffee, which probably contributed to its early demise.",coffeemaker works well inexpensive easy fill easy clean fairly fast minor drawback lack externally visible fill level internal fill mark impossible see really measure water put automatic shutoff big plus previously similar toastess model toastess tfc personalsize cup coffeemaker black also good coffeemaker external fill indicator lacked automatic shutoff kept forgetting turn making coffee probably contributed early demise,positive,"good coffeemaker, coffeemaker, coffeemaker works",Error: '<' not supported between instances of 'NoneType' and 'int'
"I am about 20 minutes into this documentary and find that my interest in watching further is seriously challenged by my inability to understand what the three remaining brothers are talking about. Three middle-aged fellows muttering into their beards or to their feet or to the middle distance do not make riveting storytelling, if one has NO idea what they are saying in their country accents. My enjoyment and understanding would be enhanced 100% if there were subtitles. It's not too late to reach a wider audience....",minutes documentary find interest watching seriously challenged inability understand three remaining brothers talking three middleaged fellows muttering beards feet middle distance make riveting storytelling one idea saying country accents enjoyment understanding would enhanced subtitles late reach wider audience,positive,"minutes documentary, brothers talking, documentary watching",Error: '<' not supported between instances of 'NoneType' and 'int'
Bought this for my boss who uses 2 hearing aids. He absolutely loves it and it does not interfere with his hearing aids. The volume control is excellent and you don't need to use it on the highest setting it is so powerful. You can also adjust it to accomodate the pitch of different voices. Would highly recommend this product for those who cannot hear well.,bought boss uses hearing aids absolutely loves interfere hearing aids volume control excellent dont need use highest setting powerful also adjust accomodate pitch different voices would highly recommend product cannot hear well,positive,"hearing aids, volume control, interfere hearing",Error: '<' not supported between instances of 'NoneType' and 'int'
This book didn't do much for me. Suffer The Children and Protege had me hooked instantly. This book seemed like it took forever to get things going. Some parts were so down-right boring I actually skimmed thru just to see if anything interesting was going to happen.,book didnt much suffer children protege hooked instantly book seemed like took forever get things going parts downright boring actually skimmed thru see anything interesting going happen,positive,"book like, instantly book, book",Error: '<' not supported between instances of 'NoneType' and 'int'
fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa,fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa fsafsdfsfsfsafsa,neutral,"fsafsdfsfsfsafsa fsafsdfsfsfsafsa, fsafsdfsfsfsafsa",Error: '<' not supported between instances of 'NoneType' and 'int'
"The Q&A approach adopted in this book is very useful. It would provide for a very useful reference manual on M&A if its content were not so dated. Its discussion of taxes, accounting, and deal structures does not reflect recent changes in rules and M&A practices. It would be helpful if the author would update the material. Other more current and more comprehensive books on the subject that I have found useful include Mergers, Acquisitions, and Other Restructuring activities by Depamphilis and Bruner's M&A book.",qa approach adopted book useful would provide useful reference manual content dated discussion taxes accounting deal structures reflect recent changes rules practices would helpful author would update material current comprehensive books subject found useful include mergers acquisitions restructuring activities depamphilis bruners book,positive,"taxes accounting, comprehensive books, qa approach",Error: '<' not supported between instances of 'NoneType' and 'int'
"So far I have had no complaints with this camera. It gives me all the manual options I like to have. I love the way it recycles so quickly so I am ready to take another picture. Somtimes the camera is out of focus and I can't quite figure out the problem. Maybe I'm doing something wrong. I'm sure it's a setting that I'm not quite of. With all the options, I sometimes forget what setting I have it on.",far complaints camera gives manual options like love way recycles quickly ready take another picture somtimes camera focus cant quite figure problem maybe im something wrong im sure setting im quite options sometimes forget setting,positive,"camera focus, complaints camera, camera gives",Error: '<' not supported between instances of 'NoneType' and 'int'
The card was good while it lasted but I expected a life cycle of greater than 1 year.,card good lasted expected life cycle greater year,positive,"card good, expected life, card",Error: '<' not supported between instances of 'NoneType' and 'int'
Good Mini SD great price also and as always amazon great with getting it to me in a timely manner.,good mini sd great price also always amazon great getting timely manner,positive,"mini sd, sd great, good mini",Error: '<' not supported between instances of 'NoneType' and 'int'
I've tried every one of these flea tick so called stoppers on my Rottie and hands down this stuff works the best and longest out of all of them. Will be buying this stuff from now on.,ive tried every one flea tick called stoppers rottie hands stuff works best longest buying stuff,positive,"tried flea, flea tick, flea",Error: '<' not supported between instances of 'NoneType' and 'int'
"I stayed up until 1:00 AM to finish it... it was so good, I couldn't wait to see what happened next! At first I thought it would be your typical ""chick"" type book... but it was not at all!!! At the risk of sounding cliche', I must say this book tells a wonderful and inspiring story of love, personal growth, and following your dreams. The NYC references were so fun to read, having lived in NYC myself. The story itself holds a great, positive message, and an interesting twist at the end. I REALLY HOPE to see this come out in a movie! I highly recommend this book!!!",stayed finish good couldnt wait see happened next first thought would typical chick type book risk sounding cliche must say book tells wonderful inspiring story love personal growth following dreams nyc references fun read lived nyc story holds great positive message interesting twist end really hope see come movie highly recommend book,positive,"stayed finish, finish good, recommend book",Error: '<' not supported between instances of 'NoneType' and 'int'
"This radio is only good for Sirius. The CD player works on a whim and the controls are so tiny it was like they were designed for a mouse. The remote has never worked, even for selecting stations. No FM/AM reception and I live in a major metropolitan area on the east coast. It is far too big and bulky just for the Sirius part. I kept it tucked in a dark corner its infrequent usage warrants.My only regret about the review is that I cannot give it no stars.",radio good sirius cd player works whim controls tiny like designed mouse remote never worked even selecting stations fmam reception live major metropolitan area east coast far big bulky sirius part kept tucked dark corner infrequent usage warrantsmy regret review cannot give stars,positive,"sirius cd, radio good, sirius",Error: '<' not supported between instances of 'NoneType' and 'int'
"Unlike her husband, Hillary Rodham Clinton has not demonstrated any talent for writing. Her ""Living History"" is really a sad demonstration of her skill or lack of it as an author. If you want to read some well written words try ""My Life"" by Bill Clinton.",unlike husband hillary rodham clinton demonstrated talent writing living history really sad demonstration skill lack author want read well written words try life bill clinton,neutral,"life clinton, writing living, husband hillary",Error: '<' not supported between instances of 'NoneType' and 'int'
before TTTT my life was an empty pool of mysery. Post tttt It's been roses and sunshine. I can't even describe the joy in my life now. Thank you tttt!,tttt life empty pool mysery post tttt roses sunshine cant even describe joy life thank tttt,positive,"joy life, roses sunshine, sunshine joy",Error: '<' not supported between instances of 'NoneType' and 'int'
"I was hoping for more given who Simon's father is, but it seems he's gone down the same cheese-filled road that Phil did eventually. I thought that maybe we'd get to experience some of the innovation and originality that Phil had early in his career with early Genesis and his first couple of solo albums, but Simon gives us something that's OK to play in the background yet doesn't hold up to real listening, in my opinion. I'm not intentionally slagging the guy -- it's very apparent that he has talent, but he just doesn't quite have the creative songwriting tools to make it jump out yet.",hoping given simons father seems hes gone cheesefilled road phil eventually thought maybe wed get experience innovation originality phil early career early genesis first couple solo albums simon gives us something thats ok play background yet doesnt hold real listening opinion im intentionally slagging guy apparent talent doesnt quite creative songwriting tools make jump yet,positive,"simons father, albums simon, given simons",Error: '<' not supported between instances of 'NoneType' and 'int'
This book is only 80 pages and offers suggestions about avoiding malpractice using 20 briefly described cases for purposes of illustration.This book is fairly elementary and offers little unique insight.For such a book I found the cost listed on the book($35.00)incredibly high.,book pages offers suggestions avoiding malpractice using briefly described cases purposes illustrationthis book fairly elementary offers little unique insightfor book found cost listed bookincredibly high,negative,"malpractice using, avoiding malpractice, malpractice",Error: '<' not supported between instances of 'NoneType' and 'int'
"He explains stuff really well, I like Johnny McArthur, he is level headed about the Bible and hasn't been blown back and forth by every wind of doctrine. When you are done reading the book it'd be a good gift for someone, because it's actually really pretty looking LOL",explains stuff really well like johnny mcarthur level headed bible hasnt blown back forth every wind doctrine done reading book itd good gift someone actually really pretty looking lol,positive,"headed bible, bible blown, bible",Error: '<' not supported between instances of 'NoneType' and 'int'
"This book is exactly what I was hoping for. It has great suggestions for for the modern bride who might be paying for most of the wedding along with her groom to be. Instead of old school rules and focusing on stuff one could care less about, like many of the books I have seen or have purchased.Great book and at a great price. It is not the only book one would need, but it is perfect in addition to another guide or organizer.",book exactly hoping great suggestions modern bride might paying wedding along groom instead old school rules focusing stuff one could care less like many books seen purchasedgreat book great price book one would need perfect addition another guide organizer,positive,"modern bride, wedding, bride",Error: '<' not supported between instances of 'NoneType' and 'int'
"Little Tikes Bathtime BandI purchased this time for my two toddlers for Christmas. It looked so cute and my 15 month old loves music. It was going to be a surefire hit. Unfortunately it has never worked. We tried new batteries, pouring water simultaneuosly in the cups, one at a time, nothing has worked. As it was Xmas morning, the box is long gone. I wish we had read the reviews. Do not buy this toy unless you want some realy disappointed kids.",little tikes bathtime bandi purchased time two toddlers christmas looked cute month old loves music going surefire hit unfortunately never worked tried new batteries pouring water simultaneuosly cups one time nothing worked xmas morning box long gone wish read reviews buy toy unless want realy disappointed kids,positive,"toddlers christmas, toddlers, time toddlers",Error: '<' not supported between instances of 'NoneType' and 'int'
"The story line of this book is phenomenal. I started thinking it was going to be a quick read because the sample was hard to put down. The authors are very descriptive and there are very little grammatical errors. But, I started to get a little bored about 60% through. The detailing started to seem drawn out and it was difficult for me to finish. The build up to the conclusion was predictable ( in my opinion) which made it even more difficult to finish. I would still recommend the book to anyone who is looking for a detailed and highly researched account of what happened in Juarez during the span of murders.",story line book phenomenal started thinking going quick read sample hard put authors descriptive little grammatical errors started get little bored detailing started seem drawn difficult finish build conclusion predictable opinion made even difficult finish would still recommend book anyone looking detailed highly researched account happened juarez span murders,negative,"book phenomenal, line book, book looking",Error: '<' not supported between instances of 'NoneType' and 'int'
"If you need your info fluffy and pretty, here's your book, but it was cotton-candy to my hunger for bread and meat. I read the whole thing in the Border's parking lot, went back in and exchanged it for some remaindered cookbooks.",need info fluffy pretty heres book cottoncandy hunger bread meat read whole thing borders parking lot went back exchanged remaindered cookbooks,positive,"info fluffy, book cottoncandy, cookbooks",Error: '<' not supported between instances of 'NoneType' and 'int'
This was just awful. Schlock. Formulaic. Unoriginal. Remaindering is a mercy killing. Not a book to give someone if you want to get them hooked on fantasy fiction.,awful schlock formulaic unoriginal remaindering mercy killing book give someone want get hooked fantasy fiction,negative,"killing book, fantasy fiction, remaindering mercy",Error: '<' not supported between instances of 'NoneType' and 'int'
"Not a bad compilation, even though the opera singer sketch and a coupla other oft-played sketches were somehow omitted. Very old clips were still enjoyed -- there were more of them than in more recent years, which were usually in color (from TV guest shots or from concerts).",bad compilation even though opera singer sketch coupla oftplayed sketches somehow omitted old clips still enjoyed recent years usually color tv guest shots concerts,negative,"compilation opera, singer sketch, sketches omitted",Error: '<' not supported between instances of 'NoneType' and 'int'
"I bought this camera because it was advertised to be Mac compatible. Unfortunately, it only works with Mac OS 9 and below, which haven't been produced since 2002 or so. Also, the design of the camera is such that you have to place it at eye level (it doesn't pivot up enough) and yet there's no way to attach it to a laptop. So you have to place it on top of a pile of books or something to have it angle correctly.Too bad. I was hoping it would be an inexpensive camera to use in talking with my husband overseas.",bought camera advertised mac compatible unfortunately works mac os havent produced since also design camera place eye level doesnt pivot enough yet theres way attach laptop place top pile books something angle correctlytoo bad hoping would inexpensive camera use talking husband overseas,negative,"mac compatible, camera place, mac",Error: '<' not supported between instances of 'NoneType' and 'int'
"I have to write that this album is the most beautiful from all albums of Pablo. Pablo sings more profeionally. His voice in the song Olvidarte jamás is very preciosa. The best songs are: olvidarte jamás, toda ley, gallo de pelea, se te olvido, vas a entender, como tenerte otra vez... Muchas gracias Pablito",write album beautiful albums pablo pablo sings profeionally voice song olvidarte jam preciosa best songs olvidarte jam toda ley gallo de pelea se te olvido vas entender como tenerte otra vez muchas gracias pablito,positive,"pablo sings, songs olvidarte, song olvidarte",Error: '<' not supported between instances of 'NoneType' and 'int'
"My Oppo BD-83 blu ray player has never hit a snag in six months of use (even when I was using it during their beta program, it played all DVD's and Blu-Rays). Then it met ""Summer."" The disc started to play a trailer and halted in the middle. Then it jumped to the main menu. There, despite hitting every ""play"" and/or ""select"" button on the remote to advance, it would do nothing except provide the universal circle with the red line through it on the upper left screen. I tried close to 10 times, reloading and so on. Nothing worked. I double-checked live to the Internet for the latest firmware updates. But my player is up to date. When I tried another disc, the player briefly had a problem until I restarted everything again. My player definitely did not like Summer or whatever Fox has put on this disc that is causing the problem. Beware.",oppo bd blu ray player never hit snag six months use even using beta program played dvds blurays met summer disc started play trailer halted middle jumped main menu despite hitting every play andor select button remote advance would nothing except provide universal circle red line upper left screen tried close times reloading nothing worked doublechecked live internet latest firmware updates player date tried another disc player briefly problem restarted everything player definitely like summer whatever fox put disc causing problem beware,positive,"tried disc, disc player, disc started",Error: '<' not supported between instances of 'NoneType' and 'int'
"When I made the mistake of reading this tell-all book,It was clear to me that the writer was very bitter. The book tells us little that shock`s,and seems to have been a means of revenge towards Marlo Thomas. What is also odd, is that not one unkind word is written about Phil Donahue,leading the reader to believe he must not have any say in his own home.",made mistake reading tellall bookit clear writer bitter book tells us little shocksand seems means revenge towards marlo thomas also odd one unkind word written phil donahueleading reader believe must say home,negative,"bitter book, writer bitter, little shocksand",Error: '<' not supported between instances of 'NoneType' and 'int'
"If you are looking to understand the value of business process simulation from an executive stand-point, this is a great book.Profozich explains through examples and case studies how simulation can help companies make better business decisions and managage necessary changes in their operating environment.All business environments operate within areas of uncertainty. This book explains how simulation technology can help business managers understand and use this uncertainty to their advantage.Business simulation can support business managers across all functions of the enterprise and help create value in a number of ways. Unfortunately businesses are not taking advantage of this great technology. Profozich has managed to demystify the myth around the complexities of computer simulation and he explains the value proposition and approach in a very compelling way.",looking understand value business process simulation executive standpoint great bookprofozich explains examples case studies simulation help companies make better business decisions managage necessary changes operating environmentall business environments operate within areas uncertainty book explains simulation technology help business managers understand use uncertainty advantagebusiness simulation support business managers across functions enterprise help create value number ways unfortunately businesses taking advantage great technology profozich managed demystify myth around complexities computer simulation explains value proposition approach compelling way,positive,"advantagebusiness simulation, value business, simulation executive",Error: '<' not supported between instances of 'NoneType' and 'int'
"I bought this game on day one based on the fact that it was a next-gen shadowrun. I read about it and became very excited about the gameplay and the new ideas. But then I actually played it. With all the time, effort and money put into this game, why is there absolutly no single player story mode. This is based on a world with some of the richest history in pen-and-paper rpgs out there. Why could they not even muster up the time to put in even an average single player mode. (the lame bot matches and training missions don't count) I mean for crying out loud, even halo and gears of war had memorable storys and characters. And those were based on brand new ideas ad licenses. Its not that the gameplay is bad. The multi-player is actually very well thought out. But for a game that costs us 60 dollars, there is absolutly no excuse for no story mode. I'm not even going to start on the lack of maps. (which is pretty pathetic for a basically online only game.",bought game day one based fact nextgen shadowrun read became excited gameplay new ideas actually played time effort money put game absolutly single player story mode based world richest history penandpaper rpgs could even muster time put even average single player mode lame bot matches training missions dont count mean crying loud even halo gears war memorable storys characters based brand new ideas ad licenses gameplay bad multiplayer actually well thought game costs us dollars absolutly excuse story mode im even going start lack maps pretty pathetic basically online game,negative,"money game, rpgs, gameplay new",Error: '<' not supported between instances of 'NoneType' and 'int'
